,stage,B365H,B365D,B365A,year,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,home_outcome,starplayer_Away,starplayer_Home,starplayer_No
1728,1,1.29,5.5,11.0,2008,11,1,10,9,16,11,3,0,0,0,24,9,6,6,55.0,45.0,1,0,0,1
1729,1,1.2,6.5,15.0,2008,12,2,13,3,11,9,0,0,0,0,21,7,7,5,66.0,34.0,0,0,1,0
1730,1,5.5,3.6,1.67,2008,4,11,3,5,13,12,0,2,0,0,15,19,1,8,46.0,54.0,1,1,0,0
1731,1,1.91,3.4,4.2,2008,5,7,7,15,14,13,2,1,0,0,15,27,6,10,52.0,48.0,0,0,0,1
1732,1,1.91,3.4,4.33,2008,5,9,4,5,11,13,0,1,0,0,16,16,7,8,52.0,48.0,0,0,0,1
1733,1,2.0,3.3,4.0,2008,2,8,7,8,11,11,2,2,0,0,14,21,3,4,51.0,49.0,1,0,0,1
1734,1,3.2,3.4,2.25,2008,7,2,5,5,11,11,1,2,0,0,25,27,7,9,53.0,47.0,0,0,0,1
1735,1,1.83,3.5,4.5,2008,5,1,7,6,14,15,1,2,0,0,22,29,4,3,47.0,53.0,0,0,0,1
1736,1,2.6,3.2,2.8,2008,5,4,5,6,10,9,3,0,0,0,16,14,5,6,53.0,47.0,0,0,0,1
1737,1,1.33,5.0,10.0,2008,6,7,10,5,11,8,0,1,0,0,25,9,8,3,65.0,35.0,0,0,1,0
1738,10,1.2,6.0,19.0,2008,11,3,8,3,11,15,1,2,0,0,14,6,3,1,60.0,40.0,0,0,1,0
1739,10,1.44,4.5,7.5,2008,9,3,11,5,9,16,1,4,0,0,22,14,9,1,62.0,38.0,1,0,1,0
1740,10,2.88,3.3,2.5,2008,5,11,2,5,14,14,1,3,0,0,14,6,3,3,45.0,55.0,0,0,0,1
1741,10,2.6,3.3,2.75,2008,13,6,6,4,17,13,1,2,0,0,19,25,5,3,53.0,47.0,1,0,0,1
1743,10,2.6,3.3,2.75,2008,4,4,6,6,12,8,2,1,0,0,22,11,5,3,52.0,48.0,0,0,0,1
1744,10,1.33,5.0,10.0,2008,9,1,11,3,12,13,0,3,0,0,21,6,7,1,54.0,46.0,0,0,1,0
1745,10,1.67,3.75,5.5,2008,2,7,5,6,9,17,0,1,0,0,13,11,4,5,57.0,43.0,0,0,0,1
1746,10,1.83,3.5,4.5,2008,4,5,6,9,15,12,0,4,0,0,17,15,7,8,51.0,49.0,0,0,0,1
1747,10,2.38,3.3,3.0,2008,1,4,8,4,10,14,0,2,0,0,12,21,2,2,50.0,50.0,0,0,0,1
1748,11,1.17,7.0,17.0,2008,7,3,9,4,13,13,2,2,0,0,12,8,9,1,51.0,49.0,0,0,1,0
1749,11,3.5,3.3,2.1,2008,5,5,4,11,17,12,1,2,0,0,14,14,3,4,49.0,51.0,0,1,0,0
1750,11,1.67,3.75,5.5,2008,5,7,5,9,11,15,0,0,0,0,33,18,6,5,54.0,46.0,0,0,0,1
1751,11,2.0,3.3,4.0,2008,8,8,5,6,9,17,3,4,0,0,23,14,4,4,53.0,47.0,1,0,0,1
1752,11,3.0,3.3,2.38,2008,5,1,5,6,14,20,4,3,0,0,11,19,2,6,55.0,45.0,0,0,0,1
1753,11,3.0,3.3,2.38,2008,8,7,6,5,15,21,1,1,0,0,26,7,6,1,55.0,45.0,0,0,0,1
1754,11,2.5,3.3,2.88,2008,7,4,7,4,10,16,3,2,0,0,28,9,2,3,59.0,41.0,1,0,0,1
1755,11,1.91,3.4,4.2,2008,8,9,10,5,11,12,0,3,0,0,22,22,7,6,45.0,55.0,1,0,0,1
1756,11,8.0,4.5,1.4,2008,3,4,2,8,13,7,4,2,0,1,14,26,3,6,45.0,55.0,0,1,0,0
1757,11,1.17,6.5,21.0,2008,8,0,7,1,6,11,0,1,0,0,15,11,4,0,55.0,45.0,0,0,1,0
1758,12,3.25,3.25,2.3,2008,6,9,6,10,17,8,3,2,0,0,16,20,5,6,52.0,48.0,0,0,1,0
1759,12,1.2,6.0,19.0,2008,8,2,2,2,10,8,2,1,0,0,13,14,3,7,51.0,49.0,0,0,1,0
1760,12,2.38,3.3,3.0,2008,4,3,4,4,8,9,2,1,0,0,21,17,8,3,55.0,45.0,1,0,0,1
1761,12,2.6,3.25,2.8,2008,11,3,5,8,10,10,1,1,0,0,22,26,9,4,55.0,45.0,1,0,0,1
1762,12,1.7,3.8,5.0,2008,10,5,5,7,12,8,2,2,0,0,24,13,8,4,56.0,44.0,1,0,0,1
1763,12,2.25,3.3,3.3,2008,6,5,2,7,12,12,1,2,1,1,20,25,4,4,45.0,55.0,1,0,0,1
1764,12,8.0,4.33,1.44,2008,3,9,4,7,14,10,2,1,0,0,12,25,5,9,40.0,60.0,1,1,0,0
1765,12,2.38,3.25,3.1,2008,5,6,5,7,13,12,2,2,0,0,25,18,6,1,53.0,47.0,0,0,0,1
1766,12,2.25,3.25,3.4,2008,8,7,7,3,15,13,1,2,0,0,25,16,6,7,55.0,45.0,1,0,0,1
1767,12,1.8,3.4,5.0,2008,9,1,8,1,10,13,1,3,0,0,35,12,5,3,57.0,43.0,1,0,0,1
1768,13,1.14,7.5,23.0,2008,11,0,6,2,6,16,1,2,0,0,17,12,3,0,58.0,42.0,0,0,1,0
1769,13,1.5,4.0,7.0,2008,8,4,5,3,10,20,2,4,0,0,33,15,8,4,53.0,47.0,1,0,1,0
1770,13,2.5,3.25,2.88,2008,10,6,6,7,7,13,0,1,0,0,18,12,8,8,50.0,50.0,1,0,0,1
1771,13,1.83,3.5,4.5,2008,7,2,8,7,10,15,0,2,0,0,33,16,10,1,55.0,45.0,1,0,0,1
1772,13,2.1,3.3,3.6,2008,6,4,10,9,9,13,1,3,0,0,23,22,4,10,54.0,46.0,1,0,0,1
1773,13,2.0,3.4,3.8,2008,8,5,9,3,10,10,3,4,0,0,24,21,11,8,50.0,50.0,1,0,0,1
1774,13,3.3,3.3,2.25,2008,13,5,3,4,8,9,1,0,0,0,21,18,10,3,52.0,48.0,0,0,0,1
1775,13,6.0,3.75,1.62,2008,10,7,6,8,7,9,1,1,0,0,21,16,7,3,48.0,52.0,1,1,0,0
1776,13,12.0,5.0,1.3,2008,3,7,10,7,8,8,0,3,0,0,15,24,3,10,49.0,51.0,1,1,0,0
1777,13,2.88,3.25,2.5,2008,3,3,4,5,15,16,2,3,0,0,25,26,3,6,52.0,48.0,1,0,0,1
1778,14,1.25,5.5,15.0,2008,8,5,12,0,7,7,0,0,0,0,27,10,9,3,53.0,47.0,1,0,1,0
1779,14,2.1,3.4,3.5,2008,4,6,11,5,12,16,2,1,0,0,54,9,4,2,56.0,44.0,1,0,0,1
1780,14,1.73,3.75,4.75,2008,10,10,8,3,14,17,2,3,0,0,23,12,6,6,53.0,47.0,0,0,0,1
1781,14,5.0,3.6,1.73,2008,7,5,3,6,13,16,1,0,0,0,13,18,3,6,40.0,60.0,1,1,0,0
1782,14,1.91,3.4,4.33,2008,10,2,12,6,11,17,2,5,0,0,18,12,8,0,51.0,49.0,1,0,0,1
1783,14,3.25,3.4,2.2,2008,4,5,6,6,17,16,0,1,0,0,13,8,3,3,54.0,46.0,0,0,0,1
